"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Capacitar en el amor a su trabajo a los médicos y enfermeras ya que son la mayoría despotas y prepotentes.,"Que se abra la biblioteca de jicolotepec, que no bailen este es para investigar, que tenga internet en mi pueblo ahí estaciones abiertas las 24 horas la biblioteca solo abre dos o tres horas diario o no está abierta en ocasiones.",Informar los logros que se han realizado.,Seguridad medica.,EDOMEX,34
Desarrollar campañas de orientación alimentaria y de revisiones médicas periódicas.,Analizar brevemente el contenido de los libros gratuitos y no ir a la voz del pueblo actuar de esta manera sin antes analizarlos.,"Que nos incorporen el sueldo como a los de PEMEX, luz y fuerza, que sean mayores, que se esfuercen los sindicatos.",Más información sobre todo a los adolescentes para no tener embarazos no deseados.,EDOMEX,34
En primera tener buenos médicos.,Obtener más ocupaciones y oportunidades públicas en las universidades.,Las mujeres no somos maquinas de trabajo domesticoy la crianza de los hijos. Somos gente de libre pensamiento y determinación.,No a las injusticias.,EDOMEX,34
"Medicinas a buen precio, no usar medicinas caducadas.",Obtener más opciones y oportunidades de ingresar a una universidad pública. Regresar los desayunos escolares.,Generar canales de comunicación para la canalización de casos de violencia con atención inmediata.,"No estoy en contra de la comunidad LGBT pero sí en contra de plantarles los movimientos LGBT las televisoras, las redes, normalizan mucho y los primordiales que se afectan son los niños, les plantan esa idea de LGBT, creo que sería primordial que los padres o gente que le implante que naciste hombre pero eres gay o eres trans o eras mujer eso no se debe plantar desde el niños.",EDOMEX,34
"Constante evaluación a medicinas, incrementar la revisión tanto foro administrativo como laborales.",Pido pedir auditorías para las escuelas.,"Apoyar a niños y niñas, abuelos y mujeres para ser una buena sociedad.",,EDOMEX,34
Queremos una buena atención porque no la hay.,Impulsar a los hogares también y que los ideales por la educación y respeto a los demás levanta a la cultura de las comunidades y economía.,"Quiero un mejor trato en mi familia, mis hijos, nietos que quedaron huerfanos y no me respetan. Cuando ellos tienen una carrera, me violentan, pido ayuda y respeto.",,EDOMEX,34
Es importante que no fallen medicamentos en los hospitales.,Participar más en la atención a los adultos para fomentar mejores valores morales a nuestros jóvenes.,"Enseñemos a nuestras hijas que no se oculta nada malo, para evitar ese maltrato y no se asesinen a nuestras hijas.",,EDOMEX,34
Que haya abasto de medicinas.,"Seguir trabajando para informar a la gente, para el 2024 llevar mayoría calificada a las cámaras de diputados y senadores.",Debería ser parejo el apoyo a las mujeres amas de casas que somos las que más trabajamos y su tarjeta Rosa solo fue para ciertas mujeres que seleccionaron y no tenían una necesidad monetaria como otras personas o mujeres más pobres.,,EDOMEX,34
Que todos tengamos servicios correctos de salud.,"Mayor oportunidad a los maestros jóvenes, egresados puesto que traen ideas renovadas y su enseñanza. Cuidar muy de cerca los apoyos brindados a las escuelas, que se usen para lo que se designan.",No existe protección.,,EDOMEX,34
Hacen falta especialistas para diagnosticar y dar el tratamiento adecuado para enfermedades en específico.,Que mejoren la educació.,Se tiene que involucrar a la sociedad o a la población para para que intervengan en defensa de las poblaciones.,,EDOMEX,34
"Es fundamental que los servicios estén cerca a 20 minutos, que las ambulancias sean gratuitas y no privadas, que los medicamentos sean gratuitos y proteger el control de industria farmacéutica.","Los papás y las mamás debemos interesarnos por la lectura de buenos libros para poder ayudar a nuestros hijos, nietos, etc.",Que los apoyos sean repartidos a todas las mujeres que tienen necesidad.,,EDOMEX,34
,Seguridad Medica.,Ojalá encontremos apoyo a las amas de casa económicamente porque habemos mujeres que no tenemos apoyo de los esposos y yo me siento chantajeada explotada marginada de mi mismo esposo.,,EDOMEX,34
,"Tener mejores instalaciones, talleres para maestros para que estén más capacitados, transporte escolar para personas de bajos recursos, así como útiles y uniformes.",,,EDOMEX,34
,Que las plazas para los profesores preferidos. Que las prepas igual las elijan los jovenes.,,,EDOMEX,34
,Que todos los maestros tengan los mismos derechos e igualdad de pagos.,,,EDOMEX,34
,"Que el plan de estudio cambie algunas cosas, ya que no todos los planes sirven, la escuela siempre te enseña lo mismo pero no cosas que sirva en uno mismo, en educación física podrían enseñar cómo hacer ejercicios y mejorar.",,,EDOMEX,34
Que todos seamos atendidos en cualquier hospital cercano sin importar si contamos con un seguro ,En la parte sólo del Estado de México faltan escuelas universitarias ,Un salario que se reconozca para las zonas de casa ,Que sean aceptado dentro de la sociedad y tener los mismos derechos ,EDOMEX,35
No van a privatización de la salud ,Que las becas Benito Juárez sean para todos los niños ,Para mujeres diabéticas con cáncer ,Que haya pollos ,EDOMEX,35
Subsidio todos los medicamentos ,Educación gratuita y laica ,Hacer que en los juzgados realmente ayuden al en los juicios en favor de la mujer ,Que no se dañe a los niños que deciden ser diferentes ,EDOMEX,35
que issemym se integre al insabi ,No va la privatización de la educación ,Concientizar sobre el movimiento feminista ,Creación de la coordinación de la diversidad en los municipios ,EDOMEX,35
Que el gobierno se integre al sector salud desde su construcción para que dé permiso de sanidad fármacos que sean de laboratorios confiables para la población verificando un buen control para erradicar la clonación al igual que los médicos no receten recetas solamente por el hecho de recetarlas y que den medicamento justo porque somos humanos ,Garantizar un empleo digno a los jóvenes egresados ya que la educación particular es una inversión pero sin futuro ,Mismo trato para hombres y mujeres ,Los seres humanos somos hombres y mujeres los demás se le llama aberración la justicia la igualdad la tolerancia deben ser para hombres y mujeres no para comportamientos desviados dejemos la hipocresía ,EDOMEX,35
Que los medicamentos que se dan en los hospitales sean realmente útiles y que el gobierno ponga más atención en los doctores en los medicamentos y en los hospitales ,Que exista un impuesto para todas y todos quienes sean padres de familia para el regreso a clases ,Que haya lugares para que las mujeres con alto grado de alfabetización se preparan y puedan competir dentro de los ámbitos laborales o ,Respetar las personas de género ,EDOMEX,35
Apoyar desde la prevención que es desde la educación básica con la promoción de la salud para concientizarnos se debe educar aún más al personal de salud y hacer obligatorio el chequeo periódico de salud en todos los mexicanos ,Que hayan maestros de calidad en todos los niveles que se den becas a tod  que se quiten las aportaciones económicas para ingresar a una escuela pública ,Que el Gobierno de México abra una televisión pública para toda la información de la cuarta transformación de todos los temas vistos que hay un espacio para las mujeres ,Todos somos iguales necesitamos el mismo respeto ,EDOMEX,35
Establecer un espacio de salud digna en la población de bajos recursos pues les es difícil llegar a un hospital pagar un costo elevado ,Promover y fomentar la práctica de desarrollo en las aulas como materia lenguas originarias para que la niñez aprenda esas lenguas ,Apoyo económico para padres y madres solteros ,Que se tenga el amor hacia el prójimo y establecer el bien común ,EDOMEX,35
 Cumplen las promesas de campaña que de verdad se lleven a cabo ,Más escuelas y plazas para maestros ,Que existe una asignatura en las escuelas donde se tratan temas exclusivamente del respeto a la mujer ,Respeto para todo ser humano y ser viviente ,EDOMEX,35
Se sugiere que las atenciones a especialidad sean más expeditas y con calidad ya que se prolongan o desfasan hasta 3 o cuatro meses la consulta en hospitales que vuelvan las consultas domiciliarias en caso de adulto mayor o con discapacidad o de urgencia ,Más escuelas que haya plazas y que continúen las pensiones y jubilaciones ,Equidad de género que no se maltrate a la mujer ,Hacer oficinas especiales para tratar la perspectiva de género y la diversidad ,EDOMEX,35
Universalidad de los servicios de salud centralizando los servicios en el seguro médico ,Capacitación permanente a los maestros mexiquenses ,Que existe el apoyo a las mujeres aunque tengan esposo ,Que los próximos gobiernos de los municipios estatales y federales diseñan una política pública y un programa de atención a difusión para las libertades a la diversidad ,EDOMEX,35
Medicamentos no genéricos que haya medicamentos de calidad y salud para todos fuera el PRI y la corrupción ,Nueva administración respecto a los horarios laborales y el aumento de plazas a directores escolares para que haya un director por cada turno ,Que las defensoras feministas no sean agresoras en las instituciones gubernamentales y muestren manifestaciones pacíficas ,Educación inclusiva ,EDOMEX,35
Necesitamos urgentemente una televisora de gobierno para programas de cómo podemos cuidar nuestro cuerpo ,Los alumnos cuentan con mejor educación ,Generar unas condiciones de igualdad para todas las mujeres ,Que todos tengan la libertad y se vistan como quieran ,EDOMEX,35
Se debe notender los problemas sociales como conflictos por problemas de agua y de inseguridad ,Que haya una educación analítica crítica y con conciencia ,Asesoría jurídica e inclusión para mujeres ,Desde el ámbito familiar recibir una educación de respeto e Igualdad sin juzgar a la persona por su forma de vestir en el ámbito laboral integrar a todas las personas sin pre juicio ,EDOMEX,35
Que haya médicos suficientes y capacitados y al mismo tiempo que cada consultor o hospital tengan todos los medicamentos de aparatos necesarios para atender una mejor atención ,Actualizar a los maestros priorizar la educación ambiental extraescolar fortalecer los 3 tipos de educación ,Concientización de apoyo a las mujeres para evitar el maltrato ,La inclusión de la diversidad en todas las instituciones ,EDOMEX,35
Recuperar el servicio de salud del Estado de México y municipios ,Establecer programas de educación para la correcta alimentación de la población ,Casas de seguridad donde se den consultas psicológicas jurídicas y donde se de información académica ,Respetar la sexualidad de cada quien ,EDOMEX,35
Ayudas en la educación en el aspecto de salud con conocimientos para mejorar el proyecto de educación de los servicios en las escuelas ,Quitar las cuotas en las escuelas públicas y otras prácticas neoliberales que los maestros practiquen una ética institucional y con humanismo ,Ser equitativos en cuestión de género ,Que la comunidad adquiera derechos pero también responsabilidades que señalan al marco de derecho a la adopción de hijos por parejas homosexuales ,EDOMEX,35
El ingreso al sistema de salud de nuevos especialistas médicos y enfermeros sin compadrazgos,Que haya ingreso nuevos docentes pero sin palancas ,Que se hagan más proyectos y no se genere tanta propaganda ,Sobre todo el respeto ,EDOMEX,35
Tener todo el medicamento suficiente con médicos bien capacitados que todos los hospitales cuenten con todos los aparatos e instrumentos suficientes para una buena atención ,Que se gaste el presupuesto en más universidades autónomas ,Apoyo económico y más estancias ,Atención a todos los grupos marginados ,EDOMEX,35
La medicina debe llegar a las comunidades y al pueblo en general en todo El País ,Incrementar el presupuesto de educación ,Que la igualdad entre las mujeres sea por educación ya que es algo fundamental en todo El País se debe de ser humanista y con sentido patrio en la actualidad está muy distorsionada y comercializada ,Que tengan las mismas oportunidades sociales y laborales ,EDOMEX,35
La medicina debe llegar a todos los rincones del país y la misión de todo mexicano es hacer El País grande y fuerte y poderoso ,Las Humanidades y la tecnología deben ser la base de la educación en México ,Que simplemente una corporación de la policía de proximidad para atender las llamadas de emergencia con violencia sexual ,No a la homofobia ,EDOMEX,35
Hay deficiencia de personal de salud falta de medicamentos se deben habilitar los hospitales que están en obra negra y contar con servicios de salud de calidad ,Que se habilite una Universidad en malinalco Estado de México ,Centros de apoyo para la mujer ,Que también se incluyan no discriminar por religión ,EDOMEX,35
Que la salud y la asistencia social sea para todos ,Que ya no cobren cuota para inscribir a los hijos ,Igualdad en salarios al igual para las personas discapacitadas empleados domésticos ,Valores en cada persona son fundamentales ,EDOMEX,35
Medicina para el cancer y la diabetes ,Si necesita una Universidad en malinalco ,Que se den más oportunidades de trabajo y más apoyos económicos ,Educación como vehículo para el respeto a todo ser vivo ,EDOMEX,35
Tener la atención médica que 1 debe tener ,Aumentar la lectura en los niños que implementen los concursos de ortografía de lectura y sobre todo que los maestros obtengan su empleo por sus conocimientos y no por influenciadas ,Un salario para las amas de casa ,,EDOMEX,35
Que las instituciones de salud de los servidores y trabajadores de la educación no le lleguen el medicamento a las personas que no cuenten con una ficha ,Que definamos la educación pública ,Garantizar la seguridad de género para que el hombre no tenga más aprovechen de la mujer ni de su pareja ,COMENTARIOS EXTRAS ,EDOMEX,35
Medicamentos en buen estado ,Que se creen los comités escolares y así evitar actividad de acciones mal hechas que se vigile a las universidades patito que han malbaratado la educación ,Educación en las comunidades para las madres de familia ,,EDOMEX,35
Urge que se vigile los medicamentos ya que éstos siguen en saqueo y culpan al gobierno federal ,Escuela de 365 días concursos de verano ,Que todos hagan el quehacer en la casa ,Viva López Obrador ,EDOMEX,35
Más atención para las personas ,Que en las escuelas no cobren cuotas de inscripción ,Ayudar a las mujeres a tener un sustento económico ,Generar recursos económicos para el financiamiento de viviendas ,EDOMEX,35
Que se cumplan las promesas y se hagan realidad ,Más apoyo para profesores jubilados y que se den becas a los alumnos que realmente los necesiten ,Que las mujeres conozcan sus derechos que no dejen que otros opinen por ellas ,Amor que tengo por Ivonne ,EDOMEX,35
Que el sector salud tenga todos los medicamentos y de los a la población según los necesite todo medicamento que se compre por fuera se ha financiado un 50% por el gobierno federal ,¿Qué nadie se quede sin estudiar por falta de recursos ,Promoviendo la verdadera equidad mismos derechos indimas su obligaciones para hombres y mujeres ,,EDOMEX,35
Que los médicos y enfermeros atiendan a toda la población sin rechazar ningún paciente ,En cara todos en todos los sectores de la sociedad que hay educación ambiental ,Inclusión de personas transgénero ,,EDOMEX,35
Que haya clínicas que den servicio las 24 horas puesto que sólo atienden de día ,Quitar las cuotas obligatorias voluntarias ,Si todas tengan apoyo ,,EDOMEX,35
Rescatar la medicina herbolaria ,Generar condiciones de infraestructura que dignifiquen las condiciones de los alumnos ,Campañas permanentes de concientización y empoderamiento económico en comunidades marginadas ,,EDOMEX,35
El personal del Servicio Médico doctores y enfermeros sean más humanos y atiendan mejor a los pacientes ,Promover en nacionalismo en todos los niveles educativos promover capacitaciones técnicas para educación bachillerato ,Refugio para mujeres ,,EDOMEX,35
Que las personas de escasos recursos tengan acceso a la Seguridad Social ,Revisar prácticas pedagógicas en las escuelas ,Horarios de trabajo reducidos para madres de hijos que tengan de cero a 15 años de edad ,,EDOMEX,35
Que todos los trámites en el servicio médico sean ágiles ,Construir más universidades ,Aperturar centros de emprendimiento especialmente para las mujeres ,,EDOMEX,35
En caso de que nos cuente el hospital con el medicamento que se den vales para cambiarlos ,Incluir a los padres de familia en las actividades escolares ,Promover campañas igualitarias en pos de las mujeres ,,EDOMEX,35
Un seguimiento y control real de los medicamentos ,Educación y becas para todos ,Que las mujeres sean escuchadas ante una injusticia más cuando se trata de un atentado ,,EDOMEX,35
Centros de salud con médicos los 24 horas ,Reestructurar la educación desde cada localidad ,Vigilar que el apoyo llegue a quien realmente lo necesita ,,EDOMEX,35
El personal sea atento Y traten bien a los pacientes ,Más becas para alumnos de las preparatorias y que se les den a los más necesitados ,Que ven apoyos ,,EDOMEX,35
Educar para que se prevenga la salud de manera individual y familiar con métodos alternativos tradicionales ,Que todas las escuelas sean apoyados con la beca Benito Juárez ,,,EDOMEX,35
Que se ponga fin a las resistencias en la atención de la salud se debe de correr los directores de hospitales que esconde o siguen cobrando en los centros de salud ,Invertir en la cultura ,COMENTARIOS EXTRAS,,EDOMEX,35
Mejores sueldos paramédicos y especialistas y merendar todas las herramientas necesarias ,Que se fomente la educación pública y restringja la educación privada ,,,EDOMEX,35
Que se integre la medicina alternativa y complemente ,Que no haya corrupción y que no se vendan las plazas de los maestros directores y demás puestos administrativos ,VIVA LOPEZ OBRADOR ,,EDOMEX,35
Tener doctores mejor preparados y capacitados para que trate mejor al paciente ,K se estudia en los libros de texto gratuito ya que son los mejores y el futuro para nuestros hijos ,Más seguridad ,,EDOMEX,35
Establecer un control eficiente en el interior de los hospitales para que el personal médico no disponga de los medicamentos para usos personales ,Construir universidades de municipios estratégicos que se les condonen el pago de agua a las escuelas ,Que saquen del Congreso las mujeres que gritan son groseras y son mentirosas como no les da vergüenza llegar a sus casas ,,EDOMEX,35
Mejorar las instalaciones y accesos de los discapacitados ,Que las becas Benito Juárez sean de acuerdo al promedio para promover el estudio ,Reelección de Andrés Manuel ,,EDOMEX,35
Mejorar la atención por parte de personal médico así como los medicamentos que haya ,Revisar prácticas pedagógicas en las escuelas ,Aumentar el presupuesto para universidades públicas ,,EDOMEX,35
Crear un Banco de medicinas de todos los niveles ,Personas mejores capacitadas para que puedan servir y que no ejerzan una carrera que no conocen ,,,EDOMEX,35
Que haya medicamentos y estudios necesarios ,Limpia de docentes y administrativos educativos examen continuo y trampas  ,,,EDOMEX,35
Que haya metecina alternativa ,,,,EDOMEX,35
Reclamar nuestro derecho a la salud ,COMENTARIOS EXTRAS ,,,EDOMEX,35
Más medicamento para diabéticos ,,,,EDOMEX,35
Que todos los centros de salud y de más instalaciones como consultorios y hospitales estén atendiendo ,Que se respeten los tiempos de participación ,,,EDOMEX,35
Que se le dé prioridad a la medicina mexicana ,Un señor ofreciendo sus servicios para educación ,,,EDOMEX,35
,Que el gobierno que quede en el 2024 continúe con la revolución de las conciencias ,,,EDOMEX,35
COMENTARIOS EXTRAS ,Atender problemas sobre el medio ambiente y la inseguridad ,,,EDOMEX,35
,Que se investigue a todos los conservadores que le han hecho daño a nuestro país ,,,EDOMEX,35
Es un privilegio apoyar ,Viva cabecita de algodón ,,,EDOMEX,35
Limpia para todos los servidores públicos que hacen quedar mal el presidente Andrés Manuel ,,,,EDOMEX,35
Que exista un comité de vigilancia ciudadana ,,,,EDOMEX,35
Parar la delincuencia y la extorsión ,,,,EDOMEX,35
Justicia para México cárcel para los ladrones ,,,,EDOMEX,35
"mas atencion y eficiencia en las areas de urgenciua de los hopitales y mucho mayor traro humano,",BUENA LA EDUCACION 4T,ATENCION,"penalizacion a personas homofobicas que trangredan, y redes de apoyo para las victimas.",EDOMEX,38
mas disponibilidad.,"SUPERVISION CONTINUA  DE PROFESORADO, DIRECCIONES, PUES SE PIERDE EL SEGUIMIENTO.",las propestas son palabrerias ,mas representacion en las campañas politicas ,EDOMEX,38
que tengan mayopr habasto en las farmacias y libre acceso al medicamento.,DISEÑO DE SISTEMAS DE EDUCACION CON BASE A LAS HABILIDADES ADQUIRIDAS APLICABLES A LA VIDA COTIDIANA.,seguridad para todos,que el dif lleve un segumineto a las comunidades mas vulnerables,EDOMEX,38
educar ala poblacion para la  prevencion de enfermedades ,DARLES LAS FACILIDADES A LOS PUEBLOS ORIGINIARIOS PARA UNA MEJOR EDUCACION.,que no ppongan peros a las personas que realmente lo necesiten,atencion y servicios  por  igual,EDOMEX,38
que en los hopitales  y centros de salud haya el suficiente  personal.,SEGUIR  CON LAS CONSULTAS,trabajar esta revolucion en el campo donde se asentua mas el machismo,que haya mas empleo para las juventudes diversas,EDOMEX,38
que las clinicas municipales  tengan servicios de analisis cli9nicos de gabinerte y para evitar trasladarse grandes distancias.,CONTAR CON TRANSPORTE Y PRESUPUESTO PARA ESCUELAS A DISTANCIA Y PUEBLOS LEJANOS.,dar trabajo a mujeres de mas de 40 años,mas respeto a las  personas  diversas,EDOMEX,38
cuando no haya medicamento en las clinicas que te lo provean de farmacias particulares  ,MUY IMPORTANTE SU ENFOQUE EDUCACIONAL Y DE CUANTOS HIJOS PUEDES  EDUCAR Y ATENDER.,hacer mas por las adultas mayores,trabajar mas en el respeto sin distinciones  sociales,EDOMEX,38
campaña de vacunacion en las areas  laborales y escolares.,INCREMENTAR EL NUMERO DE PROFESORES PRESENCIALES EN LAS COMUNIDADES PEQUEÑAS.,ser hombre o mujer no debe de existir dominio de ninguna parte igualdad para todos,tener en claro los roles masculinos y femeninos evitando seres asesuales o androgenos.,EDOMEX,38
un sistema de salud con honestidad y sin corrupcion.,TODA NUESTRA POBLACION DEBE FORMARCE EN POLITICA.,"una verdadera y justa atencion ante las denuncia nuevas y pendientes de violencia sexual acosos, etc",generar una IGUALDAD SIN DISTINCIONES.,EDOMEX,38
trato cordiual ala comunicdad sin prejuisios y maltratos por parte de los medicos.,HONETIDAD ANTE TODO VAMOS PARRIBA,igualdad salario equitativo,dejar de usas la badera LGBTTQ+ ya que daña el pensar de las  creaturas. ,EDOMEX,38
el seguro social era  eficiente ahora es   pecimo demaciado tiempo de espera ,ATENDER LAS NECESIDADES DE LAS ESCUELAS EN CUANTO A INFRAESTRUCTURA.,mas oportunidades  para las mujeres ,"Otogar igualdad de oprtunidades , promover la no discriminacion pero sin imponer la ideologia de genero.",EDOMEX,38
tamar mas encuenta la salud mental ,LOS 4 PUNTOS SON NECESARIOS PARA UNA EDUCACION INTEGRAL.,empoderamiento a  mujeres y una mejor capacitaciojn,Ma informacion sobre prevencion de embarazo a adolecentes y mayo entrega de anticonseptivos,EDOMEX,38
mayor eficiencia en el servicio medico de los servidores publicos y una mayor disponibilidad.,"los niños  son el futuro, no se debe hacer poloitiquerias sobre la educacion.",optimizar estrategias para una restructuracion social ya que es la que permite el machismo ,educar y enseñar sobre el respeto a la diversidad,EDOMEX,38
apoyo y organización.,"la educacion es esencial para toda persona, entre mejor preparados mucho mejor.",enfocarse en las mujeres trasbajdoras del hogar y asi tengan mejores oportunidades,"la sexualidad se debe  impartir adecuadamente, solo hay hombres y mujeres.",EDOMEX,38
que no falte medicamento ey un mejor trato por parte de los medicos.,muy bien,apoyo para encotrar empleo a mujeres profesionistas,"viva obrador ,vivan los mexicanos humildes.",EDOMEX,38
implementar  consultorios en las colonias del pais.,Escuelas para niños con TDA,en violencia de genero es preciso que se investigue para no errar y se jusgue corectamente al agresor,respeto.,EDOMEX,38
buena atencion a los adultos mayores ,becas por  promedio para buscar el alto desarrollo del estudiante.,apertura a las mujeres en los sindicatos ,se que posiblemente estoy mal pero no estoy de acuerodo con el homosexualismo,EDOMEX,38
mayor abasto de medicamentos para las enfermedades del cuadro cdomun.,OPTIMIZAR MAS UNIVERSIDADES  PUBLICAS,controloar los despiudos injustificados hasta que la madre sea autosuficiente,no estoy deacuero con las preguntas,EDOMEX,38
mas personal empatico y profecionistas con vocacion,MAS BECAS PARA LOS NIÑOS,seguridad publica y seguridad para las mujeres,pena de muerte al que infrinja la ley ,EDOMEX,38
mayor importacia y mayor equipamiento para las intituciones  medicas.,APOYO A LOS MAESTROS DE CONAFE,no  abandonar a las madres,"la poblacion LGBTT tambien debe respetar a la sociedad , la libertad acab donde inicia la otra persona, no mas promocion a una  minoria, no cambiar el vocabulario.",EDOMEX,38
atencion medica gratuita.,CENTRARCE EN PERSONAS DE BBAJOS RECURSOS,aplicar leyes que penaloicen el feminicidio y modificvar las leyes en apoyo de las  mujres y los niños,educacion con resposabilidad y sustentabilidad por profecionales a toda la comunidad,EDOMEX,38
mayores elementos neceserios para la  atencion de adultos maYORTES,PROHIBIR O CASTIGAR A LAS ESCUELAS QUE PIDAN CUOTAS DE INSCRIPCION Y VENTA DE UNIFORMES,reducir los feminicidios con mayor seguridad,manejo discresional de  preferencia  sexual,EDOMEX,38
"mayor supervisacion de los centros de  salud, convatir la negligencia del personal y una mayor higinie en general.",BRINDAR MAS APOYOS  ECONOMICOS A LOS MAESTROS DE CONAFE,que se atiendan a todas todas  las mujeres,ser totalmente respetuosos y generar las sencibilidad de reflleciones  sobre las relaciones  afectivas,EDOMEX,38
promover mas el deporte.,MAS SEGURIDAD EN LAS ESCUELAS Y RESPETO PARA LOS MAESTROS.  ,apoyar a madres solteras con trbajos de medio tiempo  y bien remunerados para que puedan entremesclar sus actividades,reconocer su valor como personas y ser cuidadosos en la creacion de leyes con respeto a la integridad de la comunidad.,EDOMEX,38
grantizar  la eficiencia que los medicamentos y su  procedencia,SEGURIDAD EN ESCUELAS,los medios de comunicasioin deben  de detener la violencia hacia las mujeres,no permitar la impocision de ideologias aunque todos seamos iguales,EDOMEX,38
"atencion prioritaria a  los adultos mayores, mas vacunas , atencion clinica a animalitos domesticos y esterilizaciones masibas y gratuitas.",DAR BECAS A ALUMBOS DE UNIVERSIDADES,apoyo economico para mujeres de mas  de  2 hijos ,"generar leyes que regulen su manera de actuar ,  hablar, vestirse ya que para muchos no es un orgullo y van en contra de la naturaleza",EDOMEX,38
mayor cobertura territorial para los lugares donde no hay servicio medico.,LA EDUCACION NO ES SOLO DE LOS MAESTROS SI NO TAMBIEN DE LOS PADRES,entender y convatir los mecanismos de violencia de genero ,implementacion y reforzamiento de  valores desde  el hogar,EDOMEX,38
mas organización y apoyo en vacunas,"EDUCACION SEXUAL, FOMENTAR LA LECTURA  Y ATENCION A LA UAEM",prestar atencion a las mujers que sufran villencia inmediata ,"mayor inclusion en la educacion del pais , con mayor inclusion para convatir las brechas de la ignoracia",EDOMEX,38
mayor presupuesto al sector salud.,MAS SEGURIDAD EN LAS ESCUELAS .  ,mejor salarios y trabajos para madre solteras,"es la clabe AMOR , TENIENDO AMOR PROPIO PODRAS AMAR AL PROJIMO",EDOMEX,38
superfvicion  en las  coperativas  y asi evitar la comida  chatarra.,APOYO A LA UAEM,becas a estudiantes con escasos recursos,"implementacion una especie de retroalimetacion , para no generar volencia visual y psicologica a los niños",EDOMEX,38
"mas seguridad, depoprte y cultura.",SOLO HAY DOS GENEROS BIOLOGICOS,crear una verdadera paridad de genero en todos los niveles de gobierno ,mayor comunicacion en el entorno familiar  ,EDOMEX,38
que los medicos y enfermeras trabajen realmente con mayor atencion.,APOYO A MAESTROS DE CONAFE E INFRAESTRUCTURA A ESCUELAS RURALES APOYO A LOS EGRESADOS DE LICENCIATURAS,que se legisle y sancione la violencia bicaria ,crear leyes sancionatorias para combatir la discriminación y exclusion a la comunidad LGBTTTIQ+,EDOMEX,38
brigadas medicas para las personas  que no puedan asitir a un centro de salud .,MAS BECAS PARA EDUCACION BASICA,mas seguridad y justicia en los feminicidios,.,EDOMEX,38
muy bien,GARANTIZAR QUE CADA UNIVERSIDAD TENGA UN EDIFICIO PROPIA CON LOS RECURSOS BASICOS ,mayor difuciion a los programas sociales enfocadod a mujeres,..,EDOMEX,38
bravo mi presidente.,activar las bibliotecas escolares y crear una nomina de mediadores de lectura,"educacion, educacion y mas educaacion ",.,EDOMEX,38
mas intituciones de salud 24 horas  los 7 dias de la seman ,no estoy deacuerdo con el insinso c,mas apoyos para madres soltera ,.,EDOMEX,38
un  hopital del ISSTE en  mas  en texcoco,que las becas sean por alumno ,atencion psicologica gratuita para victrimas de violencia de genero,..,EDOMEX,38
que el personal del sector salud sean capacitados en MODALES Y EDUCACION,mejorar el sistema educativo garantizando el aprendizaje en los alumnos,ariba amlo,.,EDOMEX,38
QUE SE CASTIGUEN DUERAMENTE A LOS QUE SE SORPRENDA EN ACTOS DE CORRUPCON,escuelas de tiempo completo y elaboracion de libros por profecionales,capacitacion para personas cuidadoras y capacitacion para prevenir la vilencia de genero,.,EDOMEX,38
"mayor concientizacion al personal medico , ya que denen de ser amables y dar un trato digno hacia los pacientes, sean nuevos o de planta.",la persona apersonal ,se me siga mejorando las condiciones de las mujeres,.,EDOMEX,38
"tener mas acceso a  los estudios , analisis y rayos x etc",viva la 4t ,toda trabaadora debe ser merecedora de un estimulo economico,.,EDOMEX,38
vigilar la atencion de los derecho ambientes por parte del IMSS,antes de hablar de estos temas hagan algo para que esta sociedad termine su casa,ayuda a mujeres con discapacidades sin limite de edad,.,EDOMEX,38
MAYOR SENSIBILIDAD  AL PERSONAL MEDICO.,que a los maestros lo prepaperEn mejor y con UNA MENTALIDAD ABIERTA PARA PODER IMPARTIR EÑL CONOCIEMIENTO,que haya apoyos para madres solteras y mas vigilancia,.,EDOMEX,38
reducir la buirocracia en las instituciones medicas medica,TRANFORMAR LA EDUCACION FUERA DE IDEOLOGIAS POLITICAS Y PROFUNDIZAR EN INFRAESTRUCTURA TECNOLOGICA,que se concientice mas los valores famlliares,.,EDOMEX,38
"que haya los suficientes medicamentos , para las enfermedasdes que predomin en nuestro pais",la nueva escuela mexicana no va de acuerdo a las necesidades de los niños no sirven y no le voy a dfar esos libros a mis hijos,escuchar a las mujeres   ,..,EDOMEX,38
mayor supervison en las instalaciones medicas.,pena de muerte ,mas programas y appyops a las mujeres,.,EDOMEX,38
cerntros de salud fortalecidos con mas personal  medico y mas medicamentos,cursos para los alumnos que enverdad los ayuden a su entorno,enfoque educativo para la participacion de niños y niñas,..,EDOMEX,38
un mejor trato con personal altamente preparado sin  disticion de ningun indole.,educar y fomentar el razonamiento politico y la equidad para el veneficio del ciudadano,que verdaderamente se egersa la equidad la ley no es letra muerta,.,EDOMEX,38
mas personal medico en los centeros de saludo para una mejor optimizacion de los mismos.,mas apoyo alos sectores mas vulnerables ,casas de apoyo y emprendimiento,,EDOMEX,38
