Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
Necesitamos medicamentos en las unidades medicas no promesas de salud,Tener un buen seguimiento en las becas bienestar pues este año ya no le llegaron a muchos niños de primaria ,Reabrir las gyarderias para que las mujeres tengan tiempo de trabajar y escuelas de tiempo completo,Cuidando mucho el respeto y tambien las personas de diferente genero respetar las familias tradicionales
No se queden afuera de la escuela aspirantes a medicina,Que cumplan con las becas que prometen por que las estan quitando ,Igualdad de sueldos,"Ofrecer talleres impartidos por expertos dirigidos a la comunidad LGBTIQ, donde se motive a dicha comunidad a que su libertad y preferencias deben garantizar no ser un peligro para la sociedad y deben ir de la mano con una constatnte evolucion en su calidad como seres humanos "
Supervisar que los medicamentos lleguen al pueblo por que siempren dicen que no hay,Ser obligatorio el novel medio superior como prepa y aplicar la ley para los tutores que no cumplan con la obligacion ,La preparacion que constituya la unidad familiar,Que sea penado cualquier agresion a personas LGBTIQ
Que no falte medicamento en los centros de salud y hospitales,Que se designen mas maestros a las escuelas por que en mi comunidad todo el ciclo escolar pasado no hubo maestros ,Que hay trabajo de igualdad para hombres y nujeres,
"Contratacion de medicos especialistas , garantizar mejor abasto de medicamentos",,Que los institutos para la mujer cuenten con lo necesario para su funcionamiento,
Servicio medico al alcance de toda la ciudadania y abastecimiento de todo tipo de medicamentos,,Aumento de oportunidades para el trabajo en el trabajo para las mujeres ya que estamos igual en la capacitacion y el esttudio,
"Mas acceso a los servicios del sector de salud pues hay menos acceso a el, habemos poblacion de escasos recursos",,"Dar oportunidad de trabajo inmediato y atencion cuando son agredidas , con albergues de atencion ",
,,Mejor trato en el trabajo,
,,Que existan campañas para campo laboral femenino y no haya restricciones,
,,Campañas de concientizacion para el respeto a las mujeres y su revalorizacion en la vida diaria y laboral con la finalidad de que haya menor discriminacion ,
,,Propuestas de empleo comunitario supervizado por mujeres y crear guarderias para que las mujeres con hijos sean incluidas y generen un ingreso extra en el hogar,
,,Paguen justamente por el trabajo y no por el sexo,
,,Que las mujeres tengan informacion para no admitir a personas machistas y que sepam que tengan derechos,
,,Pension universal para todas las madres solteras,
,,Informacion mas intensa sobre los derecjos de las mujeres,
"Que todas las personas sean atendidas igual. No tomar o escoger amistades, personas con más dinero, ni gentes influyentes, sino atender igual al pobre al rico, vista como vista.","Ojo, que los maestros sean más responsables y que cumplan con sus labores como lo que son.",Que el apoyo de 65 y más sea 50 y más para alcanzar algo del gobierno.,"Con respeto de unos a otros, si piden respeto también que ellos respeten y que se les prohíba adoptar niños o niñas porque los menores aun no tienen criterio y pueden engañarlos mentirles fácilmente. El respeto debe ser en todo lugar principalmente en escuelas."
No sobre ocupar las instituciones de salud que ya existen porque no hay infraestructura para tantas personas.,Apoyar a los estudiantes.,"También es necesario dar el seguro a trabajadoras domésticas. Dar 40 y más, porque a veces ni a esa edad llegamos.","Nunca se ha tomado en cuenta la importancia de ser hombre o mujer. No creo que debamos darle más importancia a algo que siempre ha estado, pero ahora de moda. Si vivimos educados y centrados a nuestras metas, no nos escandalizaremos por cosas diferentes a las nuestras."
Producir alimentos en las localidades y hacer una labor en la educación.,Que trabajen los maestros como debe de ser.,No más discriminación a las mujeres mucho menos  a los niños.,Revisar primero el desempeño de profesores ya que al ser el primer contacto con alumnos en ocasiones son ellos los principales generadores.
"Que se paren en seco a todos los monopolios de los voraces políticos que hacen negocio con la salud púbica, ¡Cárcel para estos vividores!","Para que se lleve a cabo todo lo que se propone en la boleta primordialmente hay que revisar las plazas y propuestas de empleo, únicamente se les reparte a hijos de los que ya tienen plazas o familiares y ni preparados están.","La mujer no debe de sufrir, deber de ganar suficiente dinero.",Que no haya exámenes.
Cuidar como se riegan los productos del campo y con qué se hacen los pesticidas y cualquier otro líquido tóxico.,"Garantizar educación de calidad en los textos implementados. Generalizar las becas a los alumnos con un promedio mayor a 8.5, son los alumnos que se ve que si aspiran a un crecimiento educativo.",Si asumen las mujeres derechos y responsabilidades se les trate de la misma forma tomando como ejemplo la marcha feminista de la cual solo hace daño a las infraestructuras.,"Promover en las escuelas dinámicas, donde participen los padres e hijos y maestros con los temas de discriminación, fomentar la importancia que tiene una familia unida."
"Implementar medicina tradicional gratuita a todo ciudadano sin importar condición social, religiosa, sexual, establecer comedores ciudadanos para gentes que no tienen familia.","Crear círculos de educación donde se le informe al pueblo y explique los sistemas educativos. Que la educación no sólo se imparta en las escuelas, en el medio común del individuo.",El niño tiene derecho y necesidad de su madre (atención).,Analizar y enfatizar las reformas de equidad y diversidad ya que están solo han demostrado ser un arma para las personas LGBTIQ
Ilegible.,"También que los maestros se capaciten y trabajen con ganas, muchos no enseñan matemáticas, física, química, inglés y las ignoran y esos no desquitan ni la cuarta parte de lo que les pagan y son viciosos.","Apoyo a madres solteras y padres solteros, para educación o sostenimiento del hogar, liberación femenina y masculina de las mujeres.","No privilegios especiales a los LGBT+Q, tampoco discriminación."
Un real acceso gratuito o bajo costo.,"Sí, invertir en educación, un país educado, informado y preparado es un país libre.",Que existan programas de centros de asistencia a menores y adultos mayores.,Que existan lugares donde puedan orientar y dar información segura y buenos consejos.
La movilidad y accesibilidad al uso de medios de transporte médico como ambulancias al servicio del pueblo.,"También que les den becas a los de escuelas privadas, no por el hecho de estar en escuela privada quiere decir que no tiene necesidad, al contrario, también ocupan apoyo económico.","Se reconoce la justicia que se ha hecho durante todos estos años ya que se han incluido en los diferentes sectores en la sociedad, en la que ya estamos en igualdad de condiciones para desempeñar y ocupar cualquier puesto laboral y político.",Fortaleciendo y creando espacios de respeto porque el respeto no solo es de hombres y mujeres sino de la comunidad LGBTIQ+ (Ilegible)
"Regular el equilibrio ecológico evitando pesticidas, herbicidas, productos transgénicos, regular los productos embutidos. Que los servicios de transporte como cruz roja, rescate etc, sean gratuitos, eficientes y públicos.","Que nos den apoyo a los que estamos en escuelas privadas, ya que también tenemos necesidad y también ocupamos apoyo.",Que les hagan caso cuando vayan a denunciar.,"Que haya más respeto, a no ser de este tipo de mujeres."
Que todos sean atendidos con igualdad.,"Considero que la transformación dio inicio en el 2018, ahora por consecuencia también en  lo educativo debe darse este cambio educativo y cultural de nuestra nación. Los incisos A, C Y D ya están en práctica dando buenos  resultados.",Crear más dependencias que apoyen a las mujeres sin tantas trabas.,Libertad es una palabra que usa de forma imprudente. La libertad de un individuo tiene su límite en el derecho de los demás
Prevenir enfermedades. Educar cómo debemos alimentarnos. Que el deporte en las escuelas sea una hora diaria. Que no se venda comida chatarra. Que la unidad deportiva sea más accesible para todos.,Que sea seleccionado el personal y capacitado para ponerse a la vanguardia de la tecnología actual.,Simplemente honestidad eliminar la corrupción dentro de las instituciones.,Intensificar más la cultura de género comenzando por las radioemisoras y la TV del gobierno
"Que haya más ambulancias, que no cobren las ambulancias y más hospitales que no cobren.","La educación es primordial y debe ser actualizada para que nuestros jóvenes sean más capaces, a los retos del cambio de una sociedad más organizada.  Becas a escuelas en general.","Fortalecer el tejido social educar con el buen ejemplo a nuestros hijos, la escuela es un apoyo para el fortalecimiento.",Respeto su orientación sexual pero no estaría de acuerdo que a los niños les den temas relacionados con LGBTIQ+ ya que están en un proceso donde empiezan a elegir su sexualidad y no permitiría que se les hablaran de estos temas ya que los confundirán.
"Todas las propuestas de las boletas son importantes para cómo se va a brindar atención médica de calidad si en algunos o en las instalaciones médicas carecen de personal médico, enfermeras, etc.","Una educación de calidad será cuando al maestro le paguen (día trabajado, día pagado y día faltante día no pagado).",Hacer reformar que garanticen los derechos al hombre ya que la equidad de género ha sido un solo beneficio más para las mujeres anulando derechos de los hombres.,
Que se atienda con el medicamento para tratar.,Más maestros.,"Dar trabajo a las personas mayores que todavía pueden y quieren trabajar, no burlarse de ellas.",
"Es fundamental que el derecho a la vida se dé a las comunidades en extrema pobreza o marginadas con calidad, y respetando sus derechos de la población.",Integrar las escuelas bilingües para la recuperación de la lengua en cada región y comunidad y/o pueblo indígena.,"Pues tengamos la edad que sea que nos otorgan trabajo, no me gusta la discriminación.",
Que realmente se hagan estas propuestas.,"Libros de texto gratuitos, autonomía educativa y didáctica. Descolonización de la educación. Educación que resuelva problemas concretos de las sociedades concretas. Becas normales. Casas de estudiantes que garanticen educación para el pobre.",,
Pues mi propuesta que haya aparatos para hacer estudios para que nos beneficien a todos.,Legislar para condenar el sabotaje de quienes comercian con la educación.,,
Que se ponga fin a la pandemia.,Becas para escuelas privadas.,,
Una mejor atención y sobre todo que el personal sea amable.,"Alfabetismo político, económico, ecológico, espiritual, social, psicológico, etc.",,
Es necesario tener un personal amable dando atención a todo el personal. También es necesario que cambien el requisito para la atención porque no te atienden así vayas muriéndote si no llevas la hoja que te dan en la clínica.,"Todas las propuestas de la boleta son importantes, mantener un equilibrio y no descuidar ninguna opción.",,
"Una mejor atención, adecuada y bien.",Revisar a detalle la preparación y perfiles de los profesores.,,
Crear consultas domiciliadas y gratuitas con la finalidad de crear un hábito a la prevención de la salud.,"Aportaciones a escuelas bilingües, interculturalidad. No perder el sentido de pertenencia. Inglés.",,
"Supervisar al personal que reparte los medicamentos en las instituciones. Que haya fuentes de empleo en este sector para todos, no únicamente para hijos o familia de los trabajadores.",Que haya respeto por parte del gobierno a todas las expresiones sindicales y no haya intromisión.,,
Que haya personal médico en los hospitales y que haya medicina.,,,
Tener trato digno.,,,
Seguro médico universal,Los padres de familia deben informarse para poder ayudar a sus hijos,Que se les reconozca su valor laboral a las mujeres y sean aceptadas en todos los trabajos,"Amor, justicia y congruencia"
Promover este servicio en zonas marginadas,Que se impartan las materias de ética y lógica,Que se reconozca la inteligencia de la mujer,Crear proyectos que impulsen el respeto a las diversas expresiones de género
Que se de servicio de salud para mente y cuepo,Hacer escuelas dignas para los sectores más vulnerables,Opinión y justicia para las mujeres,Respeto mutuo
Salud gratuita para todos,Dar desayunos para mejorar la alimentación en todos los niveles,Apoyos para las madres solteras y buena educación para sus hijos,Programas sociales dirigidos a la comunidad de la diversidad
Derechos laborales a trabajadores de la salud,Apoyos a los maestros para mejor educación,Combatir el machismo a través de la educación,Campañas de difusión contra la discriminación
Integrar en el servicio de salud el tratamiento de salud mental y psicoterapia,Mejorar los edificios escolares,Penas más severas y seguimiento más puntual en casos de feminicidios y violaciones,Políticas que permitan la participación política de las personas de la diversidad y que impidan la discriminación
Estudios clínicos gratuitos,Becas universales,Que las amas de casa también tengan un salario por cuidar del hogar,
Mayor énfasis en la prevención,Implementar comedores con una alimentación sana,Derecho de incapacidad a mujeres embarazadas ,
Especialistas en todas las unidades,Implementar herramientas digitales,"Apoyo total para las mujeres, más espacios en el trabajo y la educación",
Revisar las instalaciones de los centros médicos,Una legislación en contra de quienes mandan quemar libros de texto,Capacitar mejor a los funcionarios que se encargan de impartir justicia,
"Mejor atención, más ágil ",Blindar artículos constitucionales sobre la educación laica y gratuita,Respeto,
Más escuelas públicas que ofrezcan carreras de medicina,Hacer brigadas para combatir el analfabetismo en países hermanos cuando se necesite,Más programas sociales,
"Salud pública y gratuita, servicios completamente gratuitos",Que no cobren cuotas en las escuelas,Educación primero al hijo del obrero,
,Programas de educación en salud mental y cuerpo,Educación,
,Combatir el analfabetismo,Preparación política para mujeres para que a futuro nos representen a todos los niveles políticos,
,Que en verdad lleguen las becas para quienes lo necesiten,,
,Revisar las instalaciones ,,
,La educación debe ir más allá del aula para combatir el atraso educativo que nos heredó la oligarquía,,
,Permitir que docentes continuen actualizándose,,
,Derechos laborales para el magisterio,,
,Incorporar a la materia de historia contemporánea cómo el PRI se transformó en PRIAN y lo que significó la participación de Salinas de Gortari en el movimiento estudiantil,,
,Mejorar el inmobiliario y la calidad de las escuelas,,
debe aprovecharse mejor y de una vez nuestros jóvenes egresados de las distintas iniversidades e instituciones de salud,corregir los errores en los libros de texto gratuito e impulsar más el pensamiento crítico y no fomentar el servilismo ,"la mujer forma parte importante de la familia, debe haber más participacioón de la mujer en la toma de decisiones ",educación y talleres para padres 
combatir la corrupción para surtir de medicamentos ,la educación para personas discapacitadas y distintas ,que se vigilen todas las fiscalias especializadas en las muejres porque no se investiga solo se juzga ,"visibilizar la violencia por razones de género y que se tiífique  como un delito, implementar una mejor educación sexual "
"unificar todo el sistema de salud en uno solo, este debe atender a todos los ciudadanos con tan solo mostrar la credencial de elector ",educar para alcanzar la felicidad ,por pricipio de cuentas la prioridad es el acceso a los derechos humanos para las mujeres ,
contar con traductores de comunidades indígenas ,se debe de difundir los conceptos de la Nueva Escuela Mexicana ,,
aolica las políticas públicas de salud con perspectiva de género ,"que se castiguen a los maestros que abusan de su poder, ya sea para favoritismos o para el acoso, así como el machismo en algunas facultades como veterinaria ",,
que haya suficiente medicamento de todo tipo ,no a la venta de plazas ,,
controlar la venta de medicamentos por internet ,,,
se necesitan sicologos en todas las escuelas ,,,
Favorecer politicas publicas de apoyo al compo y a los productores para bajar el precio de los alimentos saludables,"Que existan los talleres de practicas de carpinteria, electricidad, manualidades ",Me encantaria que se legalize el aborto ya que es un tema que causa mucho conflicto,Se debe inckuir todas en general para ayudar en la transformacion de este pais
Que haya una clinica de issste en municipios como aqui ,"Se deben de censar las escuelas y a todo aquel estudiante que necesite de utiles, uniforme zapatos y alimentacion",Igualdad y equidad de genero es un derecho humano ,Atencion para mujeres de todas las edades
Que se nos dia que quimicos debemos usar en elcampo,Que las reformas educativas sean analizadas consensadas y autorizadas ,Salario maximo para el personal de enfermeria sin distincion de genero ,Formacion de instituciones publicas destinadas exclusivamente a la orientacion y formacion de la sociedad en temas de diversidad sexual
Que los servicios de nedicos nutriologos asi como las medicinas sean de buena calidad ,Equipar con toda la tecnologia para poder llevar acabo los proyectos,Apollar en guarderias para las que no tenemos quien nos cuide a nuestros hijos,Luchar por la perdida de valores y recuperarlos con promover la cultura y las artes
La salud es un derecho humano universal y por lo tanto debe de estar al servicio de todos por igual y se debe procurar un servicio eficiente,Apoyo a los docente con material didactico ,Proteccion siempre a mujeres con trato justo,"Campañas de concientizacion del tema de diversidad de la sexualidad atravez de canales de comunicacion serios, a demas de incluirlo en la educacion basica Mexicana"
Por lo menos una vez al mes realizar en las instituciones al alumnado y personal docente para la obecidad ,Que los maestros agan lo que les corresponde educar y enseñar a los niños ,Que el apoyo no sea solo para madres solterasm todas tenemos necesidades. Que todas recibamos un apoyo,Que no solo se quede en simples proyectos que se establesca como una legislacion 
Que los medicamentos se encuentren gratuitamente en todos los hospitales ,Destinat a la educacion el presupuesto que le corresponde tanto a nivel estatal como federal,"La creacion de oportunidades igualitarias, es decir centrar la economia en una sola direccion y en un solo nivel",Respeto mutuo y respeto a la comunidad LGBT y que la comuniad active con respeto a la sociedad
Ademas de lo dicho creo indispensable psicologia en la educacion para controlar las emociones de todos los alumnos con eso contribuimos a la buena toma de deciciones en la alimentacion,Que las becas sean de acceso facil para todos estudiantes de escuela publica sin importar el nivel para evitar la desercion escolar,Que se atienda pronta y expedita las demandas por violencia,
"Si no hay educacion y paz social no puede haber salud y alimentacion saludable, Mente sana, cuerpo sano",Educacion social y antiviolencia contra la mujer ,,
A mi me gustaria que se nos dieran clases de herbolaria para no usar tanto medicamento ,Acudir a escuelas preguntar si los maestros cumplen con sus labores,,
El derecho a la atencion medica deberia ser gratuita y de facil acceso ya que pone las familias en estado de vulnerabilidad y bajos recursos es dificil pagar gastos medicos y traslado a donde hay aparatos adecuados,Acudir a cada centro de trabajo a ver como trabajan los profesores ,,
,Impartir educacion financiera ,,
,,Ampliar la cobertura para la atención en casos de violencia intrafamiliar,
,,"Garantizar la equidad en todos los aspectos, laboral, de salud, etcétera",
,,"Que haya mayor atención a las especialidades médicas requeridas por las mujeres como la atención a cancer de mama, en zonas rurales o de difícil acceso y de amplia precariedad",
,,Mayores espacios laborales bien remunerados y que tengan acceso a guarderias,
,,Aumentar la seguridad en los espacios públicos en horas pico para disminuir atentados a la seguridad de las mujeres,
,,"Que haya policias mejor capacitados en relación a los casos de violencia contra la mujer, con examenes frecuentes en campo y por escrito para saber cómo atenderían esos temas",
,,Que haya línea teléfonica de atención que sea realmente efectiva y no sólo te canalice a los servicios sino que pueda atender a la brevedad en caso de emergencia ,
,,Policia especializada en la atención de violencias hacia las mujeres y de investigación de feminicidios con perspectiva de género,
,,"Que se hagan exámenes sorpresa en los MP de casos de violencia o atentados hacia la integridad de las mujeres y que aquellos que no cubran el perfil tengan una sanción y capacitación sobre el tema, así como un seguimiento ya que muchas veces al acudir las mujeres a denunciar se le revictimiza y no se atiende la solicitud terminando en un feminicidio",
,,Que se den incentivos a las personas que cuidan a sus enfermos o discapacitados ya que muchas veces no cuentan con recursos económicos,
,,Apoyo a adultas mayores y madres solteras,
,,Trabajo para mujeres con discapacidad desde casa,
,,Que las sanciones y penalizaciones sean mayores en los casos de atentados hacia las mujeres,
,,Aumentar las penas en caso de abuso sexual,
,,Paridad en la contratación de personal del sector público sin importar el área,
,,Elimminar los impuestos de los artículos de higiene femenina,
,,,
,,,Respeto a todos 
,,,Es muy importante que exista apoyo psicológico para los temas relacionados con la sexualidad y la diversidad 
,,,Impulsar programas de educación sexual en todos los espacios educativos del país 
,,,Educar a los maestros y directivos para la diversidad y para no discriminar. Garantizar a la comunidad LGBTTTIQ+  los mismos derechos. 
,,,Establecer mesas de diálogo respetuoso con la iglesias y que son generalmente son la que malinforman a los fligreses. Crear formas de atacar estereotipos y prejuicios. 
Apoyo permanente en el medicamento a los enfermos y que nunca les haga falta,Que los maestros sean bien remunerados,Respeto a  hombres y mujeres,Respetar
Contar con una credencial para tener una mejor forma de identificación en el centro médico,Tener maestros preparados,Pensión para la mujer a los 60 años que se ha dedicado al hogar y a su familia,Que se les brinda atención médica sobre todas las enfermedades que con ello llevan
Atención permanente y de calidad a las personas de la tercera edad,Que haya más respeto en todos lados,"Agilizar trámites y si la mujer tiene hijos y trabaja que haya un lugar donde pueda dejar a sus hijos, una guardería",Que haya igualdad
Que toda la sociedad tenga derecho al seguro sin distinción,"Vigilar que las escuelas tengan los servicios de agua, luz y la infraestructura",Igualdad de sueldos para las mujeres en los puestos laborales,
Ampliar el esquema de salud y hacerla llegar a todas las comunidades y en especial a aquellas de escasos recursos,Que el pago al inscribir si te encargas de sobrinos sea como si fuera una sola familia,"Mejor seguridad, apoyo a las jóvenes y madres de familia",
Que todos los mexicanos tengamos INSABI sin que los gobernadores decidan por nosotros,Qué todas las escuelas se registren al beneficio de las becas,"Guarderías para madres trabajadoras, atención médica a mujeres embarazadas",
No a los transgénicos y cero comida chatarra en las escuelas ,Qué se termine con el analfabetismo en todos los rincones del país,Que haya una propuesta para las adultas mayores a las que su marido las deja sin un apoyo económico después de 40 años de casados,
Que haya médicos que den servicio a domicilio,Continuar con la educación mexicana y con las becas,"Qué todas las mujeres y todos los trabajadores domésticos, jardineros y otros, cuenten con seguro social",
Que integren el rivaroxabán al programa de salud,,Apoyar a las madres solteras,
Que permitan recibir consulta médica sin necesidad de tener una cita ya que en muchos casos no eres atendido sin ella,,"Mejorar la seguridad, seguir combatiendo la corrupción y mejorar la impartición de justicia",
Que haya medicamentos disponibles para sutir las recetas completas en todos los Institutos de Salud,,Checar que las personas que tienen ayuda realmente sean las personas a las que se les asigna,
Que capaciten debidamente al personal y así mejoren la atención hacia la comunidad y sean más amables,,,
Ampliar la cantidad de especialistas en las distintas áreas de salud y así reducir tiempos de espera en la atención médica,,,
Tener mayor cantidad de médicos en el área de urgencias en los días que suele haber mayor demanda,,,
Que cada colonia tenga una ambulancia destinada a las personas de la tercera edad y mejorar el traslado,,,
Invertir en sueldos e infraestructura para el personal de salud. Los médicos y enfermeros deben tener muy buenos salarios ,Muy bien todo lo que se ha realizado hasta ahora ,Seguridad social para las mujeres embarazadas ,"Respeto a las personas, todos deben tener derechos. Es necesaria una ley antidiscriminación "
Es necesario que haya medicamentos en todos los hospitales ,Muy bien  ,Mayor inclusión económica a las mujeres ,Es necesario que existan cursos para que las familias comprendan los temas de diversidad sexual 
Más limpieza en los hospitales ,Creo que hasta el momento todo va bien ,Más justicia para las mujeres ,Es necesario más educación sexual para que los niños puedan prevenir violanciones 
Atención para todos. Debe haber sistema de salud universal. ,Ayudar más a los estudiantes ,Que haya hospitales donde la prioridad sea la atención médica a las mujeres y que tengan medicamentos suficientes ,Se debe respetar el derecho de la gente LGBTTTIQ+ 
Extender el sistema de seguridad social ,Más escuelas y más apoyados para recien egresados ,Respetar los derechos de las mujeres ,Realizar más cursos de género e inclusión. Deben existir verdaderos representantes de las diversidades en las tomas de decisiones de este grupo 
Apoyar a los estudiantes de medicina con becas y espacios de práctica ,Que las cuotas sean realmente voluntarias y no obligatorias. Más vigilancia a los maestros para que enseñen los contenidos de manera correcta. ,Mejores salarios para mujeres e igualdad en el ambíto laboral ,Crear políticas para evitar la violencia contra miembros de la comunidad LGBTTTIQ+
El gobierno estatal debe entrar al INSABI ,Becas para todas las escuelas ,Facilitar trabajos a las mujeres y crear más guarderias ,Es necesario respetar la sexualidad de todos 
Hacer un mejor inventario de medicamentos a nivel nacional ,Más apoyos a los alumnos de bajos recursos ,Guarderias seguras ,Fundamental crear una Ley de Violencia Política por orientación sexual y género
Que haya más medicamentos y mejorar el servicio social ,"Que las becas sean para todas las escuelas, no es justo que solo algunas escuelas tengan ",Mejores salarios para madres solteras ,
Mejorar todo el sector salud ,Informar más a los niños sobre los peligros de las drogas ,Dar apoyos a madres solteras y crear más guarderias ,
Grantizar el acceso universal a la salud ,Seguir con campañas de alfabetización hasta que el 100% de los mexicanos sepan leer y escribir ,Crear fuentes de trabajo para madres solteras ,
Contar con todos los medicamentos y capacitar al personal para que sea más amable ,Dar salarios dignos a todos los profesores ,Debería ser una obligación que todos los trabajos tengan una guardería. ,
Crear más universidades que tengan la carrera de medicina ,Que se respete la educación sexual ,Ley de violencia política en razón de discriminación por orientación sexual o género ,
,Se debe invertir más en educación para el combate a la pobreza ,,
,Revisar más los contenidos de los libros de la SEP ,,
,Mayor inversión en investigación para la educación ,,
,Utiles gratuitos para todos los estudiantes ,,
"un sistema de apoyo legal, psicologicoy medico a personas con discapacidad ya que sus cuidaadores son los que hay veces los maltratan",,Tomar en cuanta a las mujeres adultas mayores que ya no puedan darle mantenimiento a sus casas para que vivan en asilos ,
Soy una persona que me negaron la pension del imss y solicito ayuda mi cel es 8112857544 Carmen Barcelata ,que se les tome encuenta a los niños que no han tienido beca y a los que estan empezando el kinder,"Equidad de genero, igualdad salarial, servicio medico acorde para mujeres",
,Mas horas de clases en primaria y kinder,Mayor apoyo para madres solteras,
,Mas becas,Educar a la niñes en el respeto a la mujer y erradicar la violencia contra la mujer,
,"Presionar al gobierno de Samuel, que se vea obligado a aceptar los programas de salud de todos los mexicanos",Lo mas importante para las mujeres es que se garantice su seguridad tanto social como fisica,
,Que sea obligatoria y gratuita la educacion de todos,Que se les trate popr igual,
,"Es muy buena opcion el emprender acciones a que se fomente la lectura, ya que hay mucha gente que no le gusta por tiempo y por otras razones","Apoyos para madres solteras, y trabajo mejor pagados",
,La universidad debe democratizarse para lograr que no se pague un solo centavo por estar estudiando en la universidad,Por un sistema nacional de cuidados ,
,Que la educacion sea mas barata y menos caros los materiales,,
,Estoy a favor de que se repartan los libros de texto y que sigan las becas Benito Juarez,,
,Dando importancia a los materriales y dando mantenimiento a las instalaciones,,
,En este sector se necesitan Escuelas técnicas con costos accecibles para el avance de la juventud,,
,que haya mas aumento al sueldo de los profesores,,
,que las becas tambien pasen por las primarias y secundaria,,
,Un programa para enseñar un dialecto de los pueblos indigenas de nuestro Mexico No solo INGLES,,
,"Tener una infraestructura mas digna en las escuelas, mas laboratorios mas cuestiones tecnicas y computacionales",,
,La Educacion de un pueblo es la mejor inversion de los paises . Dignificar al maestro (a) .Darle el verdadero valos,,
,Apoyando con mas utiles escolares y bajando las cuotas que las ponen como aportacion voluntarias,,
Implementar vales de medicamentos para que en caso de no tener médicamentos en existencia con ellos se pueda regresar y así poder surtirlos sin sólo sufrir una negativa,,,
"Que haya un surtido constante de medicamentos, sobre todo aquellos que cubren el espectro geriátrico y en caso de no tenerlos reciban vales para poder regresar y surtirlos ",,,
Integrar la medicina alternativa al esquema de salud pública,,,
Supervisión a directivos y así evitar el enriquecimiento ilícito ,,,
Especialización y medicina para todos,,,
Aumentar el numero de especialistas y especialidades en el esquema de salud pública,,,
Reducir el costos de los medicamentos ,,,
Supervisión a los medicamentos para evitar que estén alterados o que se entreguen caducos ,,,
Mayor cantidad de hospitales del IMSS en las comunidades de nuestraregión,,,
Generar una mayor cantidad de foros en escuelas y espacios públicos sobre una mejor alimentación,,,
Que haya médicos que tengan real vocación de servicio al pueblo pero que a su vez cuenten con medicamentos para poder ejercer devidamente su profesión,,,
Crear hospitales de primer nivel en todos los Estados de la República para que así no se tenga que migrar a otros para recibir el servicio,,,
Que en caso de no  tener los insumos necesarios los hospitales asuman la responsabilidad del traslado,,,
Medicamentos gratuitos,,,
Que todas las personas tengan servicio médico gratuito,,,
El personal de salud debe tener buenos salarios y prestaciones laborales,,,
Reforma para mejorar las pensiones,,,
Que no haya fraude en los medficamentos,,,
Servicio médico especializado más accesible para disminuir el tiempo de espera,,,
Abrir más foros para la discusión de este tipo de proyectos,,,
Reducir los costos de la canasta básica,,,
Construir más hospitales y clínicas porque las actuales están saturadas,,,
Dar primeros auxilios a pasientes aunque no sean derechohabientes,,,
Que regrese el seguro popular para la gente que no tiene seguro social por la cantidad de beneficios,,,
Tener mayor cantidad de medicamentos de amplio y bajo espectro en los centros de salud,,,
Favorecer y aumentar los derechos económicos y de prestaciones de los médicos y personal del sectro salud,,,
Mayor empatia de los servidores del sector salud con la comunidad en general pero especialmente con los adultos mayores,,,
Qué se establezcan tiempos de respuesta para la construcción de hospitales y clínicas,Aumentar el número de escuelas y las plazas de los maestros,Más empleos para mujeres,Igualdad para todos
Hacer valer el seguro bienestar como ya lo había dicho en una mañanera el presidente,Una escuela por colonia con maestros,Qué se investigue por igual al hombre y la mujer en caso de violencia,Responsabilidad desde el hogar para ser conscientes de los diferentes géneros
Un hospital para los que menos tenemos por favor,"Dar becas a los alumnos de la universidad, hay  familias que de verdad lo necesitan",,"Respeto a la diversidad, castigos severos para quien no respete "
Construcción del hospital de zona en el distrito siete,Castigos severos a quienes no hagan llegar el presupuesto,,
Simplificación en los trámites para evitar tanta burocratización del plan nacional,Escuelas y proyectos recreativos públicos,,
Más hospitales por favor,Poner más escuelas en todas las colonias,,
Revisar que no haya desabasto de medicamentos,"Qué las becas fueran para todas los escuelas públicas sin excepción,  sin ser sorteadas",,
En García se necesita un seguro más grande y que no falten medicamentos,"Qué los salarios de los maestros sean dignos, y mejorar las escuelas que están en malas condiciones",,
Más hospitales y medicamentos,"Qué a los niños de escasos recursos les den mucho apoyo, es lo que más se necesita para que sigan estudiando",,
Atención a los adultos mayores,Solicitamos becas para todas las familias que no tienen empleos para seguir apoyando a sus hijos en su preparación de educación,,
"En García Nuevo León, nos hace falta un hospital con las especialidades necesarias para la atención a los enfermos, pasan muchas administraciones y no hacen nada, ojalá tomen en cuenta la petición","Qué les paguen el servicio social a los alumnos universitarios, para que de esa manera se paguen su título",,
Clínica del IMSS,"Becar a alumnos de todos los niveles básico y superior, implementar mejores plataformas para ampliar el conocimiento de los profesores y padres de familia",,
Más consultorios,Mejorar las condiciones de las escuelas,,
Qué haya oculista,Construir más escuelas en colonias nuevas,,
Mejorar la plaza.,"Aumentar el presupuesto para la infraestructura referente a las cuestiones de internet, computadoras, etc. Las cuales no cuentan las escuelas al día de hoy.",Mi propuesta siempre va hacer de siempre su igualdad.,Educar también a los maestros en no discriminar.
